beta,capacita,delta_capacita
0.4175,8.228311123900234,0.03725917025572128
0.4,6.1709995287037245,0.02905401722629787
0.5,2.8987751282564034,0.017265395710739262
0.4075,6.968943271484118,0.033031704217148336
0.49,3.386233154396301,0.017607169415693534
0.4403,8.274460363456093,0.0378451197264182
0.48,4.004406031616448,0.018779033855510267
0.425,8.871843039999927,0.03720452753725157
0.4401,8.337898980795622,0.043405948454667526
0.435,8.85717286078389,0.038922857628821805
0.4462,7.565057860603552,0.0371620072123688
0.4437,7.944840461883551,0.03750337495901362
0.4425,8.068291015935714,0.03981933677077374
0.4525,6.697239904496222,0.03176356707381096
0.51,2.5029917263360346,0.013071552834692825
0.41,7.29442134789986,0.03804393883691596
0.4399,8.412747720604052,0.040451900364570914
0.4395,8.421931062843946,0.03913012732482041
0.38,4.808578202095948,0.025009848427980586
0.455,6.429623362043735,0.03071455520259946
0.445,7.761627658875803,0.03869563408842289
0.4409,8.324059068015899,0.04122876160391615
0.4325,8.924851659899868,0.03938654228232215
0.4225,8.691719370523732,0.04183296327680938
0.43,8.940051876543809,0.03729858828631648
0.4487,7.328947635824612,0.04196857787239714
0.42,8.359378440815934,0.037549491605481176
0.4675,4.985247511900326,0.026623532807861495
0.475,4.318074900463742,0.02192673368886866
0.39,5.390595160635847,0.02512920473481401
0.436,8.759149771995745,0.040653314456759855
0.395,5.753823820399884,0.03461946205410142
0.4402,8.367601728704344,0.03505190621020755
0.415,7.916790129084017,0.0413673685086491
0.47,4.791925300924049,0.02800836923614157
0.4625,5.492150774015947,0.02724084222876114
0.4398,8.357927254044206,0.04188285491766322
0.46,5.853142426076197,0.029476463910217687
0.385,5.108106891099773,0.02912333421218875
0.4275,8.961401197499619,0.03735380246765766
0.4375,8.571077937500071,0.03610985776292518
0.4412,8.24695605989998,0.03938405022610194
0.439,8.450837002735767,0.04418378315971003
0.36,4.12936927109997,0.022021639444781287
0.44,8.404135110143862,0.04570856080397893
0.4575,6.106206749755749,0.03310678959783755
0.4475,7.400650385724106,0.03957234534633295
0.485,3.668227610815755,0.02001918542324691
0.4406,8.290765824255786,0.03666524930066564
0.405,6.800859201084286,0.03793718059757952
0.465,5.246473018735998,0.028406403111365303
0.37,4.412599023600006,0.022637471166016512
0.438,8.562073699195949,0.04139625296316096
0.4025,6.423009896924103,0.032707437416248895
0.45,7.104771383996145,0.036092250168179324
0.4125,7.644737535675894,0.0387310323026338
