beta,magnetizzazione,delta_magnetizzazione
0.4175,0.46016689999999993,0.0008267501105509421
0.4,0.3198336,0.0007584571056256222
0.5,0.9113752500000001,0.00014632396537819618
0.4075,0.3732223,0.0008739743352988207
0.49,0.8963491499999999,0.00018590901113918988
0.4403,0.6904716000000001,0.0008117279344292266
0.48,0.8771846999999998,0.00022396165910709028
0.425,0.5381984500000001,0.001117077557649423
0.4401,0.68856985,0.0008353480025151278
0.435,0.6412332,0.0008824469536856017
0.4462,0.7377239500000002,0.0007976407277991816
0.4437,0.7185953500000001,0.0007379723214475922
0.4425,0.7088022,0.000719479329428599
0.4525,0.7786858000000002,0.0005426360910580413
0.51,0.9233003999999999,0.00011749341132166533
0.41,0.39152030000000004,0.0008531206137614638
0.4399,0.6869875999999999,0.0008529691306974497
0.4395,0.68256335,0.0007562176137744555
0.38,0.22693915,0.0005192330617757269
0.455,0.7920869,0.0005082056590522668
0.445,0.7292847,0.0006888093716878515
0.4409,0.6956597499999999,0.0007976364102327635
0.4325,0.6169673,0.0009127265365102579
0.4225,0.5127484,0.0009560080826722876
0.43,0.59137395,0.0009096648942874438
0.4487,0.7548866500000001,0.0006294775845048063
0.42,0.4861289999999999,0.0009969661413371854
0.4675,0.8443205999999999,0.00032350623945876146
0.475,0.8654642000000001,0.00029110934615881413
0.39,0.26699975000000004,0.0006320445939130797
0.436,0.6508095500000001,0.0008924383626615355
0.395,0.290427,0.0006856789808168248
0.4402,0.6894072000000001,0.0007382355435663812
0.415,0.43853970000000003,0.0009519096371237164
0.47,0.8516777499999999,0.00034356458879663957
0.4625,0.8260391,0.00038486423088411224
0.4398,0.6858997,0.0007153386760416379
0.46,0.81567655,0.0004116392929361959
0.385,0.24566599999999994,0.0005335724771331438
0.4275,0.5642617999999999,0.000893561756287147
0.4375,0.6652697500000001,0.0008843371056586705
0.4412,0.6978530000000001,0.0007688044711880538
0.439,0.6799453999999999,0.0007729286623413234
0.36,0.17658495,0.0004998663319078403
0.44,0.687676,0.0007383376407911098
0.4575,0.8043696,0.0004901983172053914
0.4475,0.74783195,0.0006765127882449863
0.485,0.8872958,0.0002036565081110728
0.4406,0.6927942000000001,0.0008420274507722479
0.405,0.3551193,0.0007608387939892381
0.465,0.83483045,0.00039668030845852804
0.37,0.19819540000000005,0.0004792029638292618
0.438,0.670634,0.0008253124779718103
0.4025,0.33599145,0.0007565627504409398
0.45,0.7634083,0.0005963597292205437
0.4125,0.4144523999999999,0.0008234042774073649
