beta,suscettivita,delta_suscettivita
0.475,2.142844044840664,0.021352477231129312
0.4675,3.2324184777557385,0.036919663030466406
0.42,61.24898236373749,0.3945114550571926
0.436,98.48502543001584,0.9687565161848045
0.39,15.191550689448965,0.08023702531015857
0.4225,70.97631852190104,0.37709818500241515
0.4325,104.18795179726277,0.680497489214441
0.4409,68.51158542686822,1.312719447147102
0.445,41.0143986982793,1.1879744884556345
0.455,11.56925687087751,1.0287678237639892
0.38,11.15685360726864,0.06395076261643574
0.4487,24.123441896760355,0.7995998134224984
0.43,101.52587268757271,0.49862390496650233
0.4525,13.827009889499642,0.5630143485860454
0.4425,57.10178042211286,1.3321210186272916
0.4437,49.644060411095644,1.4795239358358934
0.4462,35.32701114892595,1.4106915660007617
0.435,100.83680472914406,0.8989232944299426
0.4401,71.38661692365072,1.2857947100976574
0.425,81.9485261051578,0.4192176890318047
0.48,1.6567516042406694,0.013220095855265915
0.4395,77.99087925271328,1.3250658601723946
0.4399,74.15856843420165,1.3494504109076721
0.41,34.73357210273136,0.22500896543657628
0.51,0.5710189952595757,0.003371071542092033
0.5,0.7742277984987278,0.005805027138742174
0.4075,31.045091103314274,0.17610647613615002
0.4175,52.69325014289025,0.3348650207676386
0.4,22.09992029262255,0.1355391620183447
0.49,1.0828090419839898,0.007483114563527614
0.4403,73.7772717721441,1.4890233512098088
0.4406,68.17052461794343,1.5999120656386554
0.45,19.201413139571798,0.7240574624146857
0.4125,39.92037422089622,0.2494972025261136
0.4025,24.43029879439538,0.14041197147898832
0.438,89.28453907160002,1.4830410383328119
0.37,8.529116014697765,0.049727122633978695
0.465,3.991445301261831,0.0565839700756345
0.405,27.175915924541727,0.17689160219709926
0.44,74.52408693861948,1.363674454136273
0.36,6.896309347172642,0.0373672049785604
0.439,78.64140372828065,1.2723488320193088
0.485,1.3552335520153336,0.011577738022201798
0.4475,28.5535874955159,0.9270882116942583
0.4575,7.561787094441663,0.18222986875011932
0.46,5.8532677318104405,0.12944818700658317
0.4398,75.20772746874168,1.3780609086008113
0.4412,63.40083676014074,1.3356770754294276
0.4375,92.00740570456153,1.2191421000353166
0.4275,92.63492275829705,0.4326386096901146
0.385,12.948945977836967,0.07861363056166791
0.4402,71.3372164708044,1.3607546708595482
0.395,18.13335210709377,0.10016863357668039
0.4625,4.824862576252309,0.07666537056780239
0.47,2.8052133719000394,0.03453239052469546
0.415,45.40446509013505,0.2652804506653381
